Rk,Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player-additional
71,Marvin Benard*,29,SFG,NL,2.1,149,633,560,102,147,27,6,12,55,22,7,63,97,0.263,0.342,0.396,0.739,92,0.337,92,222,4,6,2,2,0,*897H,,benarma01
72,Tino Martinez*,32,NYY,AL,0.3,155,632,569,69,147,37,4,16,91,4,1,52,74,0.258,0.328,0.422,0.749,89,0.337,87,240,16,8,0,3,9,*3/H,,martiti02
73,Ken Griffey Jr.*,30,CIN,NL,5.5,145,631,520,100,141,22,3,40,118,6,4,94,117,0.271,0.387,0.556,0.942,133,0.399,129,289,7,9,0,8,17,*8/H,AS,griffke02
74,Terrence Long*,24,OAK,AL,2.4,138,631,584,104,168,34,4,18,80,5,0,43,77,0.288,0.336,0.452,0.788,101,0.353,101,264,18,1,0,3,1,*8/H,ROY-2,longte01
75,Bill Mueller#,29,SFG,NL,1.3,153,631,560,97,150,29,4,10,55,4,2,52,62,0.268,0.333,0.388,0.721,87,0.33,89,217,16,6,7,6,0,*5H/4,,muellbi02
76,Shannon Stewart,26,TOR,AL,5,136,631,583,107,186,43,5,21,69,20,5,37,79,0.319,0.363,0.518,0.882,118,0.394,120,302,12,6,1,4,1,*7/8,,stewash01
77,Paul O'Neill*,37,NYY,AL,1.3,142,628,566,79,160,26,0,18,100,14,9,51,90,0.283,0.336,0.424,0.76,92,0.335,88,240,17,0,0,11,2,*9/DH,,o'neipa01
78,J.T. Snow*,32,SFG,NL,0.8,155,627,536,82,152,33,2,19,96,1,3,66,129,0.284,0.365,0.459,0.824,113,0.366,116,246,20,11,0,14,6,*3/H,GG,snowj.01
79,Luis Castillo#,24,FLA,NL,4.5,136,626,539,101,180,17,3,2,17,62,22,78,86,0.334,0.418,0.388,0.806,111,0.392,128,209,11,0,9,0,0,*4/H,,castilu01
80,Jorge Posada#,29,NYY,AL,5.5,151,624,505,92,145,35,1,28,86,2,2,107,151,0.287,0.417,0.527,0.943,139,0.411,139,266,11,8,0,4,10,*23/DH,ASSS,posadjo01
81,Steve Finley*,35,ARI,NL,3.4,152,623,539,100,151,27,5,35,96,12,6,65,87,0.28,0.361,0.544,0.904,121,0.387,118,293,9,8,2,9,7,*8/DH,ASGG,finlest01
82,Todd Zeile,34,NYM,NL,2.4,153,623,544,67,146,36,3,22,79,3,4,74,85,0.268,0.356,0.467,0.823,110,0.363,110,254,15,2,0,3,4,*3/H,,zeileto01
