Rk,Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,IBB,Pos,Awards,Player-additional
407,Fred Martin,35,STL,NL,0.1,31,16,15,2,4,2,0,0,2,0,0,0,5,0.267,0.267,0.4,0.667,70,0.284,53,6,1,0,1,0,1/H,,martifr02
408,Rogelio Mart¡nez,31,WSH,AL,0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,/1,,martiro01
409,Walt Masterson,30,BOS,AL,-0.3,33,46,44,2,6,1,0,0,1,1,0,2,18,0.136,0.174,0.159,0.333,-18,0.157,-48,7,0,0,0,0,1,,mastewa02
410,Charlie Maxwell*,23,BOS,AL,-0.2,3,9,8,1,0,0,0,0,0,0,0,1,3,0,0.111,0,0.111,-71,0.075,-98,0,0,0,0,0,/9H,,maxwech01
411,Jackie Mayo*,24,PHI,NL,-0.3,18,38,36,1,8,3,0,0,3,0,1,2,5,0.222,0.263,0.306,0.569,50,0.245,45,11,0,0,0,0,7/H,,mayoja01
412,Windy McCall*,24,PIT,NL,0,2,3,2,0,0,0,0,0,0,0,0,1,0,0,0.333,0,0.333,-5,0.245,29,0,0,0,0,0,/1,,mccalwi01
413,Mike McCormick,33,2TM,2LG,-0.5,59,160,142,16,32,4,3,0,10,0,1,16,8,0.225,0.304,0.296,0.6,56,0.286,54,42,7,0,2,1,8H/7,,mccormi02
413,Mike McCormick,33,NYG,NL,,4,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,-100,-0.015,-147,0,0,0,0,0,/H,,mccormi02
413,Mike McCormick,33,CHW,AL,-0.5,55,156,138,16,32,4,3,0,10,0,1,16,6,0.232,0.312,0.304,0.616,60,0.294,59,42,7,0,2,1,8H/7,,mccormi02
414,Barney McCosky*,33,PHA,AL,-0.4,66,207,179,19,43,10,1,0,11,0,0,22,12,0.24,0.323,0.307,0.631,63,0.308,64,55,4,0,6,0,7H,,mccosba01
415,Les McCrabb,35,PHA,AL,0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,/1,,mccrale01
416,Mickey McDermott*,21,BOS,AL,0.9,39,53,44,11,16,5,0,0,12,0,0,9,3,0.364,0.472,0.477,0.949,134,0.448,146,21,1,0,0,0,1/H,,mcdermi03
417,Jim McDonald,23,BOS,AL,0.1,9,5,3,0,1,0,0,0,0,0,0,2,1,0.333,0.6,0.333,0.933,135,0.484,170,1,0,0,0,0,/1,,mcdonji04
418,Ed McGhee,25,CHW,AL,0,3,6,6,0,1,0,1,0,0,0,0,0,1,0.167,0.167,0.5,0.667,68,0.271,41,3,0,0,0,0,/H9,,mcgheed01
419,Pat McGlothin*,29,BRO,NL,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,/1,,mcglopa01
420,Russ Meyer#,26,PHI,NL,-0.2,32,60,50,2,7,1,0,0,0,0,0,3,20,0.14,0.189,0.16,0.349,-6,0.157,-40,8,0,0,7,0,1,,meyerru01
421,Ed Mickelson,23,STL,NL,-0.2,5,12,10,1,1,0,0,0,0,0,0,2,3,0.1,0.25,0.1,0.35,-5,0.191,-7,1,1,0,0,0,/3H,,mickeed01
422,Ed Mierkowicz,26,STL,NL,,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,-0.038,-158,0,0,0,0,0,/H,,mierked01
423,Bob Miller,24,PHI,NL,-0.1,35,64,61,4,11,1,0,0,6,0,0,1,11,0.18,0.194,0.197,0.39,4,0.178,-14,12,1,0,2,0,1,ROY-2,millebo02
424,Pete Milne*,25,NYG,NL,,4,4,4,1,1,0,1,0,1,0,0,0,1,0.25,0.25,0.75,1,150,0.4,138,3,0,0,0,0,/H,,milnepe01
425,Julio Moreno,29,WSH,AL,-0.1,4,9,8,0,1,0,0,0,0,0,0,0,1,0.125,0.125,0.125,0.25,-34,0.118,-76,1,1,0,1,0,/1,,morenju01
426,Gordie Mueller,27,BOS,AL,0,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0.007,-138,0,0,0,0,0,/1,,muellgo01
427,Red Munger,31,STL,NL,-0.2,32,56,51,4,7,1,0,0,1,0,0,2,10,0.137,0.17,0.157,0.327,-15,0.152,-41,8,1,0,3,0,1,,mungere01
428,Joe Murray*,29,PHA,AL,-0.2,8,11,11,0,0,0,0,0,0,0,0,0,3,0,0,0,0,-100,-0.006,-141,0,1,0,0,0,/1,,murrajo01
429,Ernie Nevel,30,NYY,AL,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0.007,-346,0,0,0,1,0,/1,,neveler01
430,Hal Newhouser*,29,DET,AL,-0.1,35,84,74,6,13,2,0,0,8,0,0,5,8,0.176,0.228,0.203,0.431,10,0.213,-8,15,2,0,5,0,1,,newhoha01
431,Gus Niarhos,29,2TM,AL,0.4,42,121,105,17,34,4,0,0,16,0,0,14,6,0.324,0.408,0.362,0.77,101,0.373,109,38,3,1,1,1,2/H,,niarhgu01
431,Gus Niarhos,29,NYY,AL,,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,/H,,niarhgu01
431,Gus Niarhos,29,CHW,AL,0.4,41,121,105,17,34,4,0,0,16,0,0,14,6,0.324,0.408,0.362,0.77,101,0.373,109,38,3,1,1,1,2/H,,niarhgu01
432,Willard Nixon*,22,BOS,AL,-0.1,22,44,36,3,5,0,0,0,2,0,0,5,7,0.139,0.244,0.139,0.383,-4,0.204,-22,5,1,0,3,0,1,,nixonwi01
433,Tommy O'Brien,31,2TM,AL,-0.7,12,44,40,1,5,1,0,0,4,0,0,4,5,0.125,0.205,0.15,0.355,-10,0.184,-24,6,3,0,0,0,/789,,o'brito03
433,Tommy O'Brien,31,BOS,AL,-0.5,9,34,31,0,4,1,0,0,3,0,0,3,5,0.129,0.206,0.161,0.367,-9,0.187,-25,5,2,0,0,0,/879,,o'brito03
433,Tommy O'Brien,31,WSH,AL,-0.1,3,10,9,1,1,0,0,0,1,0,0,1,0,0.111,0.2,0.111,0.311,-17,0.175,-18,1,1,0,0,0,/79,,o'brito03
434,Len Okrie,26,WSH,AL,0.1,17,34,27,1,6,0,0,0,2,0,0,6,7,0.222,0.382,0.222,0.605,61,0.317,75,6,0,1,0,0,2,,okriele01
435,Roberto Ortiz,35,2TM,AL,-0.8,45,98,89,5,18,2,1,0,11,0,0,7,15,0.202,0.268,0.247,0.515,35,0.25,28,22,3,1,1,0,H9/7,,ortizro01
435,Roberto Ortiz,35,WSH,AL,-0.5,39,83,75,4,17,2,1,0,8,0,0,7,12,0.227,0.301,0.28,0.581,53,0.282,51,21,2,1,0,0,H9,,ortizro01
435,Roberto Ortiz,35,PHA,AL,-0.4,6,15,14,1,1,0,0,0,3,0,0,0,3,0.071,0.071,0.071,0.143,-63,0.064,-108,1,1,0,1,0,/9H7,,ortizro01
436,Joe Ostrowski*,33,2TM,AL,0.3,30,34,27,4,5,3,0,0,5,0,0,6,8,0.185,0.333,0.296,0.63,61,0.307,58,8,0,0,1,0,1,,ostrojo02
436,Joe Ostrowski*,33,SLB,AL,0.2,9,22,18,2,4,3,0,0,4,0,0,4,7,0.222,0.364,0.389,0.753,90,0.348,86,7,0,0,0,0,/1,,ostrojo02
436,Joe Ostrowski*,33,NYY,AL,0,21,12,9,2,1,0,0,0,1,0,0,2,1,0.111,0.273,0.111,0.384,2,0.224,3,1,0,0,1,0,1,,ostrojo02
437,Stubby Overmire,31,SLB,AL,0.3,31,62,48,3,8,0,1,0,8,0,1,12,2,0.167,0.333,0.208,0.542,39,0.282,47,10,0,0,2,0,1,,overmst01
438,Joe Page*,32,NYY,AL,0.1,37,10,8,1,2,1,0,0,2,0,0,2,3,0.25,0.4,0.375,0.775,102,0.366,105,3,0,0,0,0,1,,pagejo01
439,Al Papai,33,2TM,2LG,0,29,24,20,3,3,0,0,0,0,0,0,3,4,0.15,0.261,0.15,0.411,4,0.219,-6,3,0,0,1,0,1,,papaial01
439,Al Papai,33,BOS,AL,0,16,21,17,3,3,0,0,0,0,0,0,3,3,0.176,0.3,0.176,0.476,20,0.253,14,3,0,0,1,0,1,,papaial01
439,Al Papai,33,STL,NL,-0.1,13,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,-0.008,-146,0,0,0,0,0,1,,papaial01
440,Frank Papish,32,PIT,NL,0,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,/1,,papisfr01
441,Mel Parnell*,28,BOS,AL,0,40,107,98,7,19,5,0,0,7,0,0,5,13,0.194,0.24,0.245,0.485,20,0.233,3,24,2,1,3,0,1,MVP-21,parneme01
442,Carlos Pascual,19,WSH,AL,0,2,5,4,0,1,0,0,0,0,0,0,0,0,0.25,0.25,0.25,0.5,31,0.241,6,1,0,0,1,0,/1,,pascuca01
443,Jim Pearce,25,WSH,AL,-0.1,20,13,13,0,2,0,0,0,0,0,0,0,5,0.154,0.154,0.154,0.308,-19,0.133,-46,2,0,0,0,0,1,,pearcji01
444,John Perkovich,26,CHW,AL,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,-0.039,-154,0,0,0,0,0,/1,,perkojo01
445,Harry Perkowski*,27,CIN,NL,0.2,32,23,22,1,7,0,0,0,0,0,0,0,6,0.318,0.348,0.318,0.666,77,0.304,74,7,0,1,0,0,1H,,perkoha01
446,Kent Peterson,24,CIN,NL,0,9,4,3,1,1,0,0,0,0,0,0,0,0,0.333,0.333,0.333,0.667,76,0.309,69,1,0,0,1,0,/1,,peterke01
447,Billy Pierce*,23,CHW,AL,0.5,40,88,77,10,20,3,0,0,6,0,0,6,13,0.26,0.321,0.299,0.62,61,0.292,58,23,1,1,4,0,1/H,,piercbi02
448,Marino Pieretti,29,CLE,AL,0,30,7,7,0,2,0,0,0,1,0,0,0,2,0.286,0.286,0.286,0.571,49,0.261,38,2,0,0,0,0,1/H,,pierema01
449,Bill Pierro,24,PIT,NL,0,13,9,9,1,2,0,0,0,0,0,0,0,6,0.222,0.222,0.222,0.444,16,0.179,-15,2,0,0,0,0,1/H,,pierrbi01
450,Jim Piersall,20,BOS,AL,0.1,6,11,7,4,2,0,0,0,0,0,0,4,0,0.286,0.545,0.286,0.831,109,0.449,146,2,0,0,0,0,/H8,,piersji01
451,Duane Pillette,27,2TM,AL,-0.1,31,25,22,2,3,1,0,0,0,0,0,2,5,0.136,0.208,0.182,0.39,-1,0.192,-22,4,1,0,1,0,1/H,,pilledu01
